1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
126.7;42.8;57.8;0.0;0.0
127.2;42.8;58.1;0.0;0.0
125.8;42.1;59.1;0.0;0.0
124.4;42.3;59.2;0.0;0.0
121.7;41.7;59.2;0.0;0.0
122.5;41.2;58.7;0.0;0.0
118.6;40.9;59.3;0.0;0.0
117.1;40.2;59.4;0.0;0.0
117.2;41.2;59.4;0.0;0.0
113.9;41.2;59.9;0.0;0.0
110.6;40.0;59.5;0.0;0.0
111.1;39.9;59.5;0.0;0.0
109.6;40.2;58.7;0.0;0.0
108.4;40.3;59.8;0.0;0.0
109.2;38.8;59.2;0.0;0.0
107.9;39.4;60.0;0.0;0.0
106.2;39.5;59.5;0.0;0.0
106.9;38.8;59.6;0.0;0.0
108.7;38.5;58.7;0.0;0.0
105.5;38.9;60.4;0.0;0.0
106.2;39.1;59.9;0.0;0.0
106.6;39.4;59.5;0.0;0.0
107.8;38.4;58.9;0.0;0.0
106.7;38.5;59.9;0.0;0.0
104.1;38.6;59.8;0.0;0.0
104.9;39.0;58.7;0.0;0.0
103.3;39.4;59.1;0.0;0.0
102.5;39.6;59.5;0.0;0.0
102.4;39.6;60.2;0.0;0.0
104.3;39.9;60.0;0.0;0.0
100.9;39.4;59.1;0.0;0.0
102.5;40.5;60.6;0.0;0.0
98.5;40.6;60.5;0.0;0.0
98.4;40.1;60.8;0.0;0.0
96.5;40.7;61.1;0.0;0.0
94.0;41.3;60.0;0.0;0.0
93.1;41.3;60.3;0.0;0.0
92.9;41.7;59.8;0.0;0.0
90.7;41.8;59.4;0.0;0.0
90.5;42.3;59.9;0.0;0.0
89.4;42.0;60.6;0.0;0.0
88.4;42.6;61.0;0.0;0.0
87.1;43.7;60.7;0.0;0.0
85.2;43.3;60.7;0.0;0.0
84.9;44.2;59.7;0.0;0.0
83.6;44.7;60.5;0.0;0.0
83.9;44.7;60.5;0.0;0.0
83.3;44.2;60.5;0.0;0.0
81.5;44.9;61.4;0.0;0.0
81.3;46.0;60.0;0.0;0.0
80.3;45.4;60.9;0.0;0.0
81.9;44.9;61.7;0.0;0.0
81.0;45.9;61.8;0.0;0.0
80.9;45.4;61.9;0.0;0.0
81.5;45.8;60.9;0.0;0.0
80.4;45.9;61.6;0.0;0.0
82.7;45.6;63.2;0.0;0.0
80.9;46.3;62.3;0.0;0.0
82.3;45.3;61.1;0.0;0.0
82.0;45.1;62.1;0.0;0.0
84.0;45.4;61.6;0.0;0.0
85.0;44.5;62.0;0.0;0.0
85.0;46.1;61.9;0.0;0.0
85.8;45.6;61.6;0.0;0.0
87.0;45.0;62.7;0.0;0.0
88.8;44.5;62.4;0.0;0.0
90.4;44.8;61.7;0.0;0.0
89.9;45.1;61.1;0.0;0.0
93.1;44.1;62.0;0.0;0.0
93.2;44.1;61.9;0.0;0.0
94.2;43.7;62.3;0.0;0.0
94.5;44.1;62.1;0.0;0.0
98.2;45.1;61.3;0.0;0.0
97.4;44.7;61.4;0.0;0.0
100.0;44.2;61.5;0.0;0.0
102.2;44.7;63.6;0.0;0.0
103.1;44.5;62.8;0.0;0.0
105.9;44.9;61.8;0.0;0.0
106.8;43.9;63.1;0.0;0.0
109.3;45.4;61.9;0.0;0.0
110.1;44.9;61.8;0.0;0.0
113.8;45.0;62.5;0.0;0.0
115.5;44.8;62.5;0.0;0.0
115.9;45.6;61.6;0.0;0.0
116.4;45.9;63.0;0.0;0.0
118.5;45.5;64.1;0.1;0.2
119.7;45.2;61.6;0.2;0.3
122.7;45.0;63.5;0.2;0.5
124.4;46.3;63.0;0.4;0.7
124.3;46.2;63.3;0.5;1.0
125.6;46.0;62.6;0.6;1.3
127.2;45.6;63.6;0.8;1.6
127.7;46.5;62.7;1.0;2.0
127.3;46.1;62.9;1.2;2.5
126.9;45.8;62.5;1.4;3.0
126.6;46.0;63.4;1.7;3.6
126.4;46.8;64.3;1.9;4.2
126.5;46.3;63.1;2.2;4.8
126.5;46.4;63.2;2.5;5.6
124.9;46.2;62.9;2.9;6.3
124.8;46.3;63.3;3.2;6.9
124.9;46.8;62.0;3.6;7.8
124.7;46.0;63.6;3.9;8.6
124.0;46.6;63.7;4.2;9.5
120.6;45.8;63.9;4.7;10.3
123.1;45.8;65.1;5.1;11.3
120.6;45.5;64.0;5.4;12.0
