1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
67.5;89.1;76.9;0.0;0.0
66.8;88.7;76.9;0.0;0.0
65.9;88.3;76.9;0.0;0.0
64.7;87.8;76.8;0.0;0.0
63.5;87.3;76.8;0.0;0.0
62.1;86.9;76.8;0.0;0.0
60.6;86.4;76.7;0.0;0.0
58.9;85.9;76.7;0.0;0.0
57.1;85.5;76.7;0.0;0.0
55.5;85.0;76.7;0.0;0.0
54.2;84.6;76.6;0.0;0.0
53.3;84.1;76.6;0.0;0.0
52.8;83.7;76.6;0.0;0.0
52.7;83.3;76.6;0.0;0.0
53.0;82.9;76.5;0.0;0.0
53.4;82.6;76.5;0.0;0.0
53.6;82.3;76.5;0.0;0.0
53.7;81.9;76.5;0.0;0.0
53.7;81.7;76.4;0.0;0.0
53.5;81.4;76.4;0.0;0.0
53.2;81.2;76.4;0.0;0.0
52.8;81.1;76.4;0.0;0.0
52.4;81.0;76.3;0.0;0.0
52.1;80.9;76.3;0.0;0.0
51.8;80.9;76.3;0.0;0.0
51.6;80.9;76.3;0.0;0.0
51.4;81.0;76.2;0.0;0.0
51.1;81.1;76.2;0.0;0.0
50.6;81.2;76.2;0.0;0.0
49.8;81.3;76.2;0.0;0.0
48.8;81.5;76.1;0.0;0.0
47.6;81.6;76.1;0.0;0.0
46.2;81.8;76.1;0.0;0.0
44.7;81.9;76.1;0.0;0.0
43.4;82.1;76.0;0.0;0.0
42.2;82.2;76.0;0.0;0.0
41.3;82.3;76.0;0.0;0.0
40.5;82.4;76.0;0.0;0.0
40.0;82.4;75.9;0.0;0.0
39.5;82.4;75.9;0.0;0.0
39.1;82.3;75.9;0.0;0.0
38.6;82.2;75.9;0.0;0.0
38.2;82.0;75.8;0.0;0.0
37.9;81.8;75.8;0.0;0.0
37.5;81.5;75.8;0.0;0.0
37.3;81.1;75.8;0.0;0.0
37.3;80.6;75.8;0.0;0.0
37.6;80.0;75.7;0.0;0.0
38.0;79.4;75.7;0.0;0.0
38.6;78.6;75.7;0.0;0.0
39.5;77.8;75.7;0.0;0.0
40.4;76.9;75.6;0.0;0.0
41.5;75.9;75.6;0.0;0.0
42.5;74.9;75.6;0.0;0.0
43.7;73.9;75.6;0.0;0.0
44.8;72.8;75.6;0.0;0.0
46.0;71.7;75.5;0.0;0.0
47.2;70.6;75.5;0.0;0.0
48.7;69.5;75.5;0.0;0.0
50.4;68.4;75.5;0.0;0.0
52.2;67.3;75.4;0.0;0.0
54.3;66.2;75.4;0.0;0.0
56.5;65.1;75.4;0.0;0.0
58.7;64.1;75.4;0.0;0.0
60.8;63.2;75.4;0.0;0.0
62.8;62.2;75.3;0.0;0.0
64.6;61.4;75.3;0.0;0.0
66.3;60.6;75.3;0.0;0.0
67.8;59.9;75.3;0.0;0.0
69.4;59.3;75.2;0.0;0.0
71.1;58.7;75.2;0.0;0.0
72.9;58.3;75.2;0.0;0.0
74.9;58.0;75.2;0.0;0.0
77.0;57.7;75.2;0.0;0.0
79.2;57.5;75.1;0.0;0.0
81.4;57.5;75.1;0.0;0.0
83.5;57.4;75.1;0.0;0.0
85.4;57.5;75.1;0.0;0.0
87.2;57.6;75.0;0.0;0.0
88.8;57.8;75.0;0.0;0.0
90.2;58.0;75.0;0.0;0.0
91.6;58.3;75.0;0.0;0.0
93.0;58.6;75.0;0.0;0.0
94.3;58.9;74.9;0.0;0.0
95.6;59.2;74.9;0.1;0.1
96.9;59.6;74.9;0.2;0.2
98.1;60.0;74.9;0.4;0.3
99.3;60.4;74.8;0.6;0.5
100.2;60.7;74.8;0.8;0.6
100.9;61.1;74.8;1.0;0.8
101.3;61.5;74.8;1.3;1.0
101.6;61.8;74.8;1.6;1.3
101.6;62.1;74.7;1.9;1.6
101.5;62.4;74.7;2.3;1.9
101.2;62.6;74.7;2.8;2.2
100.9;62.8;74.7;3.2;2.6
100.5;62.9;74.6;3.8;3.1
100.1;63.0;74.6;4.3;3.6
99.6;63.0;74.6;4.9;4.1
99.0;62.9;74.6;5.5;4.6
98.4;62.8;74.6;6.1;5.2
97.9;62.7;74.5;6.8;5.8
97.4;62.5;74.5;7.4;6.4
96.8;62.2;74.5;8.0;7.0
96.3;62.0;74.5;8.6;7.6
95.9;61.6;74.4;9.2;8.2
95.6;61.3;74.4;9.8;8.9
95.3;60.8;74.4;10.4;9.5
95.1;60.4;74.4;10.9;10.1
95.0;59.9;74.4;11.4;10.8
95.0;59.4;74.3;11.9;11.4
95.1;58.8;74.3;12.3;12.0
95.1;58.2;74.3;12.8;12.6
95.1;57.6;74.3;13.2;13.2
95.0;57.0;74.2;13.6;13.8
94.9;56.3;74.2;13.9;14.4
94.8;55.6;74.2;14.3;15.0
94.7;54.9;74.2;14.6;15.6
94.6;54.2;74.2;14.9;16.2
94.5;53.4;74.1;15.2;16.8
94.5;52.7;74.1;15.5;17.4
94.5;51.9;74.1;15.7;18.0
94.5;51.1;74.1;16.0;18.6
94.6;50.3;74.0;16.2;19.1
94.7;49.5;74.0;16.4;19.7
94.8;48.7;74.0;16.6;20.2
94.9;47.9;74.0;16.8;20.7
95.0;47.1;74.0;17.0;21.2
95.2;46.3;73.9;17.1;21.7
95.4;45.6;73.9;17.2;22.2
95.6;44.8;73.9;17.4;22.6
95.9;44.1;73.9;17.4;23.0
96.3;43.4;73.8;17.5;23.4
96.6;42.7;73.8;17.6;23.8
97.0;42.0;73.8;17.6;24.1
97.5;41.3;73.8;17.7;24.4
97.9;40.7;73.8;17.7;24.7
98.4;40.1;73.7;17.7;25.0
98.9;39.5;73.7;17.7;25.3
99.5;39.0;73.7;17.7;25.5
100.1;38.5;73.7;17.7;25.7
100.6;38.0;73.6;17.8;25.9
100.9;37.6;73.6;17.8;26.1
101.1;37.2;73.6;17.8;26.3
101.1;36.8;73.6;17.8;26.4
100.9;36.5;73.6;17.8;26.6
100.6;36.2;73.5;17.8;26.7
100.3;35.9;73.5;17.9;26.8
100.2;35.6;73.5;17.9;26.9
100.3;35.4;73.5;17.9;27.0
100.5;35.2;73.4;17.9;27.0
100.9;35.0;73.4;17.9;27.0
101.5;34.9;73.4;17.9;27.0
102.1;34.7;73.4;17.8;26.9
102.5;34.6;73.4;17.8;26.9
102.6;34.5;73.3;17.7;26.7
102.5;34.4;73.3;17.6;26.6
102.2;34.3;73.3;17.5;26.3
101.7;34.2;73.3;17.4;26.1
101.1;34.1;73.2;17.2;25.8
100.7;34.0;73.2;17.0;25.4
100.5;33.9;73.2;16.8;25.1
100.5;33.9;73.2;16.6;24.6
100.7;33.8;73.2;16.3;24.2
101.1;33.7;73.1;16.1;23.7
101.7;33.6;73.1;15.8;23.1
102.4;33.5;73.1;15.4;22.5
103.2;33.4;73.1;15.0;21.9
104.2;33.3;73.0;14.6;21.2
105.4;33.1;73.0;14.2;20.4
106.6;33.0;73.0;13.8;19.7
107.9;32.8;73.0;13.3;18.9
109.1;32.7;73.0;12.8;18.0
110.2;32.5;72.9;12.2;17.2
111.2;32.3;72.9;11.6;16.3
112.0;32.2;72.9;11.1;15.4
112.7;32.0;72.9;10.4;14.4
113.4;31.8;72.8;9.8;13.5
114.2;31.6;72.8;9.2;12.5
115.3;31.4;72.8;8.5;11.6
116.5;31.2;72.8;7.8;10.6
117.8;31.0;72.8;7.2;9.6
119.3;30.8;72.7;6.5;8.6
120.8;30.6;72.7;5.8;7.7
122.3;30.3;72.7;5.1;6.7
123.6;30.1;72.7;4.5;5.9
124.8;29.9;72.6;3.8;5.0
125.9;29.7;72.6;3.2;4.2
126.9;29.5;72.6;2.7;3.4
127.8;29.3;72.6;2.1;2.7
128.5;29.1;72.6;1.7;2.1
129.2;28.9;72.5;1.2;1.6
129.7;28.7;72.5;0.9;1.1
130.1;28.5;72.5;0.6;0.8
130.4;28.3;72.5;0.4;0.5
130.6;28.1;72.4;0.2;0.2
130.8;27.9;72.4;0.1;0.1
130.8;27.7;72.4;0.0;0.0
130.8;27.5;72.4;0.0;0.0
130.8;27.3;72.4;0.0;0.0
130.8;27.1;72.3;0.0;0.0
130.9;26.9;72.3;0.0;0.0
131.0;26.8;72.3;0.0;0.0
131.2;26.6;72.3;0.0;0.0
131.5;26.4;72.2;0.0;0.0
131.9;26.2;72.2;0.1;0.1
132.4;26.0;72.2;0.1;0.1
132.9;25.9;72.2;0.1;0.1
133.6;25.7;72.2;0.1;0.1
134.3;25.5;72.1;0.1;0.1
135.1;25.3;72.1;0.1;0.1
136.0;25.2;72.1;0.0;0.1
137.0;25.0;72.1;0.0;0.0
138.0;24.8;72.0;0.0;0.0
139.0;24.6;72.0;0.0;0.0
139.9;24.5;72.0;0.0;0.0
140.7;24.3;72.0;0.0;0.0
141.5;24.1;72.0;0.0;0.0
142.3;23.9;71.9;0.0;0.0
143.1;23.8;71.9;0.0;0.0
143.9;23.6;71.9;0.0;0.0
144.9;23.4;71.9;0.0;0.0
145.9;23.3;71.8;0.0;0.0
147.0;23.1;71.8;0.0;0.0
148.2;23.0;71.8;0.0;0.0
149.4;22.8;71.8;0.0;0.0
150.3;22.7;71.8;0.0;0.0
151.0;22.6;71.7;0.0;0.0
151.5;22.4;71.7;0.0;0.0
151.8;22.3;71.7;0.0;0.0
151.9;22.2;71.7;0.0;0.0
151.8;22.1;71.6;0.0;0.0
151.7;22.0;71.6;0.0;0.0
151.5;21.9;71.6;0.0;0.0
151.2;21.8;71.6;0.0;0.0
150.9;21.7;71.6;0.0;0.0
150.5;21.7;71.5;0.0;0.0
150.0;21.6;71.5;0.0;0.0
149.5;21.6;71.5;0.0;0.0
148.8;21.5;71.5;0.0;0.0
148.0;21.5;71.5;0.0;0.0
147.0;21.5;71.4;0.0;0.0
146.0;21.5;71.4;0.0;0.0
145.0;21.5;71.4;0.0;0.0
143.9;21.5;71.4;0.0;0.0
142.9;21.6;71.3;0.0;0.0
142.0;21.6;71.3;0.0;0.0
141.1;21.6;71.3;0.0;0.0
140.3;21.7;71.3;0.0;0.0
139.4;21.7;71.3;0.0;0.0
138.7;21.8;71.2;0.0;0.0
137.9;21.8;71.2;0.0;0.0
137.2;21.9;71.2;0.0;0.0
136.6;21.9;71.2;0.0;0.0
135.9;21.9;71.1;0.0;0.0
135.3;22.0;71.1;0.0;0.0
134.7;22.0;71.1;0.0;0.0
134.1;22.0;71.1;0.0;0.0
133.6;22.1;71.1;0.0;0.0
133.0;22.1;71.0;0.0;0.0
132.4;22.1;71.0;0.0;0.0
131.9;22.1;71.0;0.0;0.0
131.5;22.1;71.0;0.0;0.0
131.2;22.0;70.9;0.0;0.0
131.1;22.0;70.9;0.0;0.0
131.1;22.0;70.9;0.0;0.0
131.2;21.9;70.9;0.0;0.0
131.6;21.8;70.9;0.0;0.0
132.4;21.8;70.8;0.0;0.0
133.7;21.7;70.8;0.0;0.0
135.4;21.6;70.8;0.0;0.0
137.6;21.5;70.8;0.0;0.0
140.1;21.4;70.7;0.0;0.0
142.6;21.2;70.7;0.0;0.0
144.5;21.1;70.7;0.0;0.0
145.7;21.0;70.7;0.0;0.0
146.3;20.9;70.7;0.0;0.0
146.3;20.7;70.6;0.0;0.0
145.7;20.6;70.6;0.0;0.0
144.8;20.5;70.6;0.0;0.0
144.2;20.3;70.6;0.0;0.0
143.7;20.2;70.5;0.0;0.0
143.5;20.0;70.5;0.0;0.0
143.4;19.9;70.5;0.0;0.0
143.5;19.7;70.5;0.0;0.0
143.6;19.6;70.5;0.0;0.0
143.4;19.4;70.4;0.0;0.0
142.9;19.3;70.4;0.0;0.0
142.1;19.2;70.4;0.0;0.0
141.0;19.0;70.4;0.0;0.0
139.7;18.9;70.3;0.0;0.0
138.1;18.8;70.3;0.0;0.0
136.4;18.6;70.3;0.0;0.0
134.6;18.5;70.3;0.0;0.0
132.6;18.4;70.3;0.0;0.0
130.5;18.3;70.2;0.0;0.0
128.2;18.2;70.2;0.0;0.0
126.1;18.1;70.2;0.0;0.0
124.4;18.0;70.2;0.0;0.0
123.0;17.9;70.1;0.0;0.0
122.1;17.8;70.1;0.0;0.0
121.5;17.7;70.1;0.0;0.0
121.4;17.6;70.1;0.0;0.0
