2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.7;58.4;28.4;4.8;7.3;16.8;5.1;2.1;3.7;7.9;8.9
13.7;58.1;28.3;4.8;7.2;16.7;5.1;2.1;3.7;7.9;8.8
13.6;57.7;28.1;4.7;7.2;16.6;5.1;2.1;3.7;7.8;8.8
13.5;57.3;27.9;4.7;7.1;16.5;5.0;2.1;3.6;7.8;8.7
13.4;56.9;27.7;4.7;7.1;16.4;5.0;2.1;3.6;7.7;8.7
13.3;56.4;27.5;4.6;7.0;16.2;5.0;2.0;3.6;7.6;8.6
13.2;55.9;27.2;4.6;7.0;16.1;4.9;2.0;3.6;7.6;8.5
13.0;55.4;26.9;4.5;6.9;15.9;4.9;2.0;3.5;7.5;8.4
12.9;54.8;26.7;4.5;6.8;15.8;4.8;2.0;3.5;7.4;8.3
12.8;54.3;26.4;4.4;6.8;15.6;4.8;2.0;3.5;7.4;8.3
12.7;53.8;26.2;4.4;6.7;15.5;4.7;1.9;3.4;7.3;8.2
12.6;53.5;26.0;4.4;6.7;15.4;4.7;1.9;3.4;7.2;8.1
12.5;53.2;25.9;4.4;6.6;15.3;4.7;1.9;3.4;7.2;8.1
12.5;53.1;25.8;4.3;6.6;15.3;4.7;1.9;3.4;7.2;8.1
12.5;53.1;25.8;4.3;6.6;15.3;4.7;1.9;3.4;7.2;8.1
12.5;53.1;25.8;4.3;6.6;15.3;4.7;1.9;3.4;7.2;8.1
12.5;53.0;25.8;4.3;6.6;15.2;4.7;1.9;3.4;7.2;8.1
12.5;53.0;25.8;4.3;6.6;15.2;4.7;1.9;3.4;7.2;8.1
12.4;52.9;25.7;4.3;6.6;15.2;4.6;1.9;3.4;7.2;8.1
12.4;52.8;25.7;4.3;6.6;15.2;4.6;1.9;3.4;7.2;8.0
12.4;52.6;25.6;4.3;6.6;15.1;4.6;1.9;3.3;7.1;8.0
12.4;52.5;25.6;4.3;6.5;15.1;4.6;1.9;3.3;7.1;8.0
12.3;52.4;25.5;4.3;6.5;15.1;4.6;1.9;3.3;7.1;8.0
12.3;52.3;25.5;4.3;6.5;15.0;4.6;1.9;3.3;7.1;8.0
12.3;52.2;25.4;4.3;6.5;15.0;4.6;1.9;3.3;7.1;8.0
12.3;52.2;25.4;4.3;6.5;15.0;4.6;1.9;3.3;7.1;8.0
12.3;52.2;25.4;4.3;6.5;15.0;4.6;1.9;3.3;7.1;8.0
12.3;52.1;25.4;4.3;6.5;15.0;4.6;1.9;3.3;7.1;7.9
12.2;52.0;25.3;4.3;6.5;15.0;4.6;1.9;3.3;7.1;7.9
12.2;51.9;25.2;4.2;6.4;14.9;4.6;1.9;3.3;7.0;7.9
12.1;51.6;25.1;4.2;6.4;14.9;4.5;1.9;3.3;7.0;7.9
12.1;51.4;25.0;4.2;6.4;14.8;4.5;1.9;3.3;7.0;7.8
12.0;51.0;24.8;4.2;6.3;14.7;4.5;1.8;3.2;6.9;7.8
11.9;50.7;24.7;4.2;6.3;14.6;4.5;1.8;3.2;6.9;7.7
11.8;50.4;24.5;4.1;6.3;14.5;4.4;1.8;3.2;6.8;7.7
11.8;50.1;24.4;4.1;6.2;14.4;4.4;1.8;3.2;6.8;7.6
11.7;49.9;24.3;4.1;6.2;14.4;4.4;1.8;3.2;6.8;7.6
11.7;49.7;24.2;4.1;6.2;14.3;4.4;1.8;3.2;6.7;7.6
11.7;49.6;24.1;4.1;6.2;14.3;4.4;1.8;3.2;6.7;7.6
11.6;49.5;24.1;4.0;6.2;14.2;4.3;1.8;3.1;6.7;7.5
11.6;49.3;24.0;4.0;6.1;14.2;4.3;1.8;3.1;6.7;7.5
11.6;49.2;23.9;4.0;6.1;14.2;4.3;1.8;3.1;6.7;7.5
11.5;49.1;23.9;4.0;6.1;14.1;4.3;1.8;3.1;6.7;7.5
11.5;48.9;23.8;4.0;6.1;14.1;4.3;1.8;3.1;6.6;7.5
11.4;48.7;23.7;4.0;6.1;14.0;4.3;1.8;3.1;6.6;7.4
11.4;48.6;23.6;4.0;6.0;14.0;4.3;1.8;3.1;6.6;7.4
11.4;48.5;23.6;4.0;6.0;13.9;4.3;1.7;3.1;6.6;7.4
11.4;48.4;23.5;4.0;6.0;13.9;4.3;1.7;3.1;6.6;7.4
11.4;48.3;23.5;4.0;6.0;13.9;4.2;1.7;3.1;6.6;7.4
11.3;48.3;23.5;4.0;6.0;13.9;4.2;1.7;3.1;6.6;7.4
11.3;48.3;23.5;4.0;6.0;13.9;4.2;1.7;3.1;6.6;7.4
11.3;48.3;23.5;4.0;6.0;13.9;4.2;1.7;3.1;6.6;7.4
11.4;48.3;23.5;4.0;6.0;13.9;4.2;1.7;3.1;6.6;7.4
11.4;48.4;23.5;4.0;6.0;13.9;4.3;1.7;3.1;6.6;7.4
11.4;48.4;23.5;4.0;6.0;13.9;4.3;1.7;3.1;6.6;7.4
11.4;48.4;23.6;4.0;6.0;13.9;4.3;1.7;3.1;6.6;7.4
11.4;48.4;23.6;4.0;6.0;13.9;4.3;1.7;3.1;6.6;7.4
11.4;48.5;23.6;4.0;6.0;13.9;4.3;1.7;3.1;6.6;7.4
11.4;48.6;23.6;4.0;6.0;14.0;4.3;1.8;3.1;6.6;7.4
11.4;48.7;23.7;4.0;6.1;14.0;4.3;1.8;3.1;6.6;7.4
