2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
19.8;79.6;42.3;6.8;9.9;25.9;7.9;3.1;5.6;12.4;13.6
19.7;79.2;42.1;6.8;9.9;25.8;7.9;3.1;5.5;12.3;13.5
19.6;78.7;41.8;6.7;9.8;25.6;7.8;3.1;5.5;12.2;13.4
19.5;78.2;41.5;6.7;9.8;25.4;7.7;3.1;5.5;12.1;13.4
19.3;77.6;41.2;6.6;9.7;25.3;7.7;3.0;5.4;12.1;13.2
19.2;76.9;40.9;6.6;9.6;25.0;7.6;3.0;5.4;12.0;13.1
19.0;76.3;40.5;6.5;9.5;24.8;7.6;3.0;5.3;11.9;13.0
18.8;75.5;40.1;6.4;9.4;24.6;7.5;3.0;5.3;11.7;12.9
18.6;74.8;39.7;6.4;9.3;24.3;7.4;2.9;5.2;11.6;12.8
18.4;74.0;39.3;6.3;9.3;24.1;7.3;2.9;5.2;11.5;12.6
18.3;73.4;39.0;6.3;9.2;23.9;7.3;2.9;5.1;11.4;12.5
18.2;73.0;38.7;6.2;9.1;23.7;7.2;2.9;5.1;11.3;12.5
18.1;72.6;38.6;6.2;9.1;23.6;7.2;2.8;5.1;11.3;12.4
18.0;72.5;38.5;6.2;9.1;23.6;7.2;2.8;5.1;11.3;12.4
18.0;72.4;38.5;6.2;9.0;23.6;7.2;2.8;5.1;11.3;12.4
18.0;72.4;38.5;6.2;9.0;23.6;7.2;2.8;5.1;11.3;12.4
18.0;72.4;38.4;6.2;9.0;23.5;7.2;2.8;5.0;11.2;12.4
18.0;72.3;38.4;6.2;9.0;23.5;7.2;2.8;5.0;11.2;12.3
18.0;72.2;38.3;6.2;9.0;23.5;7.2;2.8;5.0;11.2;12.3
17.9;72.0;38.3;6.1;9.0;23.4;7.1;2.8;5.0;11.2;12.3
17.9;71.8;38.2;6.1;9.0;23.4;7.1;2.8;5.0;11.2;12.3
17.8;71.6;38.0;6.1;9.0;23.3;7.1;2.8;5.0;11.1;12.2
17.8;71.5;38.0;6.1;8.9;23.3;7.1;2.8;5.0;11.1;12.2
17.8;71.3;37.9;6.1;8.9;23.2;7.1;2.8;5.0;11.1;12.2
17.7;71.2;37.8;6.1;8.9;23.2;7.1;2.8;5.0;11.1;12.2
17.7;71.2;37.8;6.1;8.9;23.1;7.1;2.8;5.0;11.1;12.1
17.7;71.1;37.8;6.1;8.9;23.1;7.0;2.8;5.0;11.0;12.1
17.7;71.0;37.7;6.1;8.9;23.1;7.0;2.8;5.0;11.0;12.1
17.6;70.9;37.6;6.0;8.9;23.0;7.0;2.8;4.9;11.0;12.1
17.6;70.7;37.5;6.0;8.8;23.0;7.0;2.8;4.9;11.0;12.1
17.5;70.4;37.4;6.0;8.8;22.9;7.0;2.8;4.9;10.9;12.0
17.4;70.0;37.2;6.0;8.7;22.8;6.9;2.7;4.9;10.9;11.9
17.3;69.5;36.9;5.9;8.7;22.6;6.9;2.7;4.8;10.8;11.9
17.2;69.1;36.7;5.9;8.6;22.5;6.8;2.7;4.8;10.7;11.8
17.1;68.7;36.5;5.9;8.6;22.3;6.8;2.7;4.8;10.7;11.7
17.0;68.3;36.3;5.8;8.5;22.2;6.8;2.7;4.8;10.6;11.7
16.9;68.0;36.1;5.8;8.5;22.1;6.7;2.7;4.7;10.6;11.6
16.9;67.8;36.0;5.8;8.5;22.0;6.7;2.7;4.7;10.5;11.6
16.8;67.6;35.9;5.8;8.4;22.0;6.7;2.6;4.7;10.5;11.5
16.8;67.4;35.8;5.7;8.4;21.9;6.7;2.6;4.7;10.5;11.5
16.7;67.2;35.7;5.7;8.4;21.9;6.7;2.6;4.7;10.4;11.5
16.7;67.0;35.6;5.7;8.4;21.8;6.6;2.6;4.7;10.4;11.4
16.6;66.8;35.5;5.7;8.3;21.7;6.6;2.6;4.7;10.4;11.4
16.6;66.6;35.4;5.7;8.3;21.7;6.6;2.6;4.6;10.3;11.4
16.5;66.4;35.3;5.7;8.3;21.6;6.6;2.6;4.6;10.3;11.3
16.5;66.2;35.2;5.6;8.3;21.5;6.6;2.6;4.6;10.3;11.3
16.4;66.0;35.1;5.6;8.2;21.5;6.5;2.6;4.6;10.3;11.3
16.4;65.9;35.0;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.8;35.0;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.8;34.9;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.3;65.8;34.9;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.8;34.9;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.8;34.9;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.8;35.0;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.8;35.0;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.8;35.0;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.8;35.0;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;65.9;35.0;5.6;8.2;21.4;6.5;2.6;4.6;10.2;11.2
16.4;66.0;35.1;5.6;8.2;21.4;6.5;2.6;4.6;10.3;11.2
16.5;66.2;35.2;5.6;8.3;21.5;6.6;2.6;4.6;10.3;11.3
16.5;66.4;35.3;5.7;8.3;21.6;6.6;2.6;4.6;10.3;11.3
16.6;66.8;35.5;5.7;8.3;21.7;6.6;2.6;4.7;10.4;11.4
16.7;67.2;35.7;5.7;8.4;21.8;6.7;2.6;4.7;10.4;11.4
16.8;67.6;35.9;5.8;8.4;21.9;6.7;2.6;4.7;10.5;11.5
16.9;68.0;36.1;5.8;8.5;22.1;6.7;2.7;4.7;10.6;11.6
17.0;68.3;36.3;5.8;8.5;22.2;6.8;2.7;4.8;10.6;11.6
17.1;68.6;36.5;5.8;8.6;22.3;6.8;2.7;4.8;10.7;11.7
17.1;68.9;36.6;5.9;8.6;22.4;6.8;2.7;4.8;10.7;11.7
17.2;69.2;36.8;5.9;8.6;22.5;6.9;2.7;4.8;10.7;11.8
17.3;69.5;36.9;5.9;8.7;22.6;6.9;2.7;4.8;10.8;11.8
17.4;69.9;37.1;6.0;8.7;22.7;6.9;2.7;4.9;10.9;11.9
