1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
92.2;58.1;87.7;0.0;0.0
88.3;58.9;86.8;0.0;0.0
86.9;57.7;87.7;0.0;0.0
88.7;57.6;88.7;0.0;0.0
83.3;58.8;88.0;0.0;0.0
83.7;58.6;89.4;0.0;0.0
81.3;57.5;86.7;0.0;0.0
79.4;59.4;86.9;0.0;0.0
76.9;59.6;88.2;0.0;0.0
74.3;58.7;88.8;0.0;0.0
71.1;58.2;87.2;0.0;0.0
70.9;58.7;87.5;0.0;0.0
69.3;58.7;89.2;0.0;0.0
68.8;58.1;88.6;0.0;0.0
68.1;58.5;87.5;0.0;0.0
67.5;58.4;88.0;0.0;0.0
67.6;58.5;88.5;0.0;0.0
67.0;60.1;86.0;0.0;0.0
65.8;60.0;88.9;0.0;0.0
66.5;58.5;87.9;0.0;0.0
66.4;59.4;88.0;0.0;0.0
65.4;58.3;88.8;0.0;0.0
64.4;57.7;87.0;0.0;0.0
65.1;58.5;87.9;0.0;0.0
64.6;57.7;87.1;0.0;0.0
65.0;59.3;87.9;0.0;0.0
65.8;57.4;88.2;0.0;0.0
65.7;57.2;86.1;0.0;0.0
64.5;55.7;89.0;0.0;0.0
64.5;56.2;88.6;0.0;0.0
63.9;56.6;88.6;0.0;0.0
64.5;55.4;87.0;0.0;0.0
62.7;56.0;89.1;0.0;0.0
63.0;54.4;89.3;0.0;0.0
63.6;55.5;86.1;0.0;0.0
61.6;53.7;87.9;0.0;0.0
60.2;53.4;88.5;0.0;0.0
59.8;53.1;88.0;0.0;0.0
59.4;52.9;87.0;0.0;0.0
60.0;52.0;88.2;0.0;0.0
59.7;52.0;88.3;0.0;0.0
59.5;51.7;88.2;0.0;0.0
59.0;51.1;87.6;0.0;0.0
58.8;50.7;87.2;0.0;0.0
59.2;50.2;88.5;0.0;0.0
58.0;49.9;87.6;0.0;0.0
58.2;50.4;88.4;0.0;0.0
58.4;50.2;88.7;0.0;0.0
58.2;49.4;88.8;0.0;0.0
57.7;50.3;87.6;0.0;0.0
57.1;50.2;87.8;0.0;0.0
57.9;49.5;86.3;0.0;0.0
57.7;50.5;87.5;0.0;0.0
56.2;50.6;87.6;0.0;0.0
57.7;50.6;87.3;0.0;0.0
56.7;50.1;87.8;0.0;0.0
57.7;51.1;87.3;0.0;0.0
56.9;51.3;86.7;0.0;0.0
56.0;50.9;86.8;0.0;0.0
56.6;51.3;87.1;0.0;0.0
57.3;51.7;87.0;0.0;0.0
57.3;52.6;86.8;0.0;0.0
58.3;51.9;89.7;0.0;0.0
59.8;52.5;89.5;0.0;0.0
60.5;52.5;86.6;0.0;0.0
61.8;52.3;86.1;0.0;0.0
63.5;53.0;87.6;0.0;0.0
62.9;53.0;87.9;0.0;0.0
65.5;53.8;86.3;0.0;0.0
65.3;52.4;88.5;0.0;0.0
66.2;53.1;87.0;0.0;0.0
67.4;51.7;87.4;0.0;0.0
69.4;52.7;86.9;0.0;0.0
69.9;54.2;86.5;0.0;0.0
71.0;53.0;86.0;0.0;0.0
75.5;53.4;86.4;0.0;0.0
77.4;52.2;88.9;0.0;0.0
80.7;52.0;86.6;0.0;0.0
83.7;50.8;86.3;0.0;0.0
84.4;50.8;87.2;0.0;0.0
87.2;50.0;87.7;0.0;0.0
89.6;50.2;86.7;0.0;0.0
90.8;49.6;87.9;0.0;0.0
94.7;49.4;86.5;0.0;0.0
95.6;48.4;89.7;0.0;0.0
98.5;48.3;84.8;0.1;0.1
99.6;47.8;88.7;0.2;0.2
100.5;46.9;87.4;0.4;0.3
104.2;47.5;87.6;0.6;0.5
106.1;46.9;87.6;0.8;0.7
109.5;47.7;87.3;1.0;0.9
108.6;46.3;88.6;1.3;1.1
108.7;46.6;87.8;1.7;1.4
109.5;46.4;86.3;2.1;1.7
109.6;45.8;87.3;2.5;2.0
108.9;45.9;87.7;3.0;2.4
108.4;45.0;88.5;3.5;2.8
110.3;45.4;87.9;4.1;3.3
111.4;44.3;86.8;4.8;3.9
110.9;45.5;86.8;5.4;4.4
108.2;46.2;87.0;6.0;4.9
107.6;45.4;86.1;6.7;5.6
107.7;46.6;87.1;7.5;6.1
106.2;45.6;87.4;8.2;6.9
103.8;46.9;87.6;8.9;7.4
104.6;46.8;87.5;9.6;8.1
100.9;47.2;86.2;10.5;8.8
101.6;47.4;86.4;11.0;9.6
98.6;46.7;88.1;12.0;10.0
99.3;47.3;87.7;12.4;10.8
98.6;48.8;88.2;13.3;11.5
96.5;47.9;88.8;13.9;12.1
97.3;49.2;88.0;14.3;13.0
94.3;48.9;86.9;15.1;13.4
