2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
18.6;76.2;38.1;6.0;9.2;23.3;7.6;2.8;5.1;10.9;11.9
18.5;75.9;38.0;6.0;9.2;23.2;7.6;2.8;5.0;10.9;11.8
18.4;75.5;37.7;6.0;9.1;23.1;7.5;2.8;5.0;10.8;11.7
18.3;75.0;37.5;5.9;9.1;22.9;7.5;2.8;5.0;10.8;11.7
18.1;74.5;37.2;5.9;9.0;22.8;7.4;2.8;4.9;10.7;11.6
18.0;73.9;37.0;5.9;8.9;22.6;7.4;2.7;4.9;10.6;11.5
17.8;73.3;36.6;5.8;8.8;22.4;7.3;2.7;4.9;10.5;11.4
17.7;72.6;36.3;5.7;8.8;22.2;7.2;2.7;4.8;10.4;11.3
17.5;71.9;35.9;5.7;8.7;22.0;7.2;2.7;4.8;10.3;11.2
17.3;71.2;35.6;5.6;8.6;21.8;7.1;2.6;4.7;10.2;11.1
17.2;70.6;35.3;5.6;8.5;21.6;7.0;2.6;4.7;10.1;11.0
17.1;70.1;35.1;5.6;8.5;21.5;7.0;2.6;4.6;10.0;10.9
17.0;69.8;34.9;5.5;8.4;21.4;7.0;2.6;4.6;10.0;10.9
17.0;69.7;34.8;5.5;8.4;21.3;6.9;2.6;4.6;10.0;10.8
16.9;69.6;34.8;5.5;8.4;21.3;6.9;2.6;4.6;10.0;10.8
16.9;69.7;34.8;5.5;8.4;21.3;6.9;2.6;4.6;10.0;10.8
16.9;69.6;34.8;5.5;8.4;21.3;6.9;2.6;4.6;10.0;10.8
16.9;69.6;34.8;5.5;8.4;21.3;6.9;2.6;4.6;10.0;10.8
16.9;69.5;34.7;5.5;8.4;21.2;6.9;2.6;4.6;9.9;10.8
16.9;69.3;34.6;5.5;8.4;21.2;6.9;2.6;4.6;9.9;10.8
16.8;69.1;34.5;5.5;8.3;21.1;6.9;2.6;4.6;9.9;10.7
16.8;68.9;34.4;5.5;8.3;21.1;6.9;2.6;4.6;9.9;10.7
16.7;68.7;34.4;5.4;8.3;21.0;6.8;2.6;4.6;9.8;10.7
16.7;68.6;34.3;5.4;8.3;21.0;6.8;2.5;4.5;9.8;10.7
16.7;68.5;34.2;5.4;8.3;20.9;6.8;2.5;4.5;9.8;10.6
16.6;68.4;34.2;5.4;8.3;20.9;6.8;2.5;4.5;9.8;10.6
16.6;68.4;34.2;5.4;8.3;20.9;6.8;2.5;4.5;9.8;10.6
16.6;68.3;34.1;5.4;8.2;20.9;6.8;2.5;4.5;9.8;10.6
16.6;68.2;34.1;5.4;8.2;20.8;6.8;2.5;4.5;9.8;10.6
16.5;68.0;34.0;5.4;8.2;20.8;6.8;2.5;4.5;9.7;10.6
16.4;67.7;33.8;5.4;8.2;20.7;6.7;2.5;4.5;9.7;10.5
16.4;67.3;33.6;5.3;8.1;20.6;6.7;2.5;4.5;9.6;10.5
16.2;66.8;33.4;5.3;8.1;20.4;6.7;2.5;4.4;9.6;10.4
16.1;66.4;33.2;5.3;8.0;20.3;6.6;2.5;4.4;9.5;10.3
16.0;66.0;32.9;5.2;8.0;20.2;6.6;2.4;4.4;9.4;10.3
15.9;65.6;32.8;5.2;7.9;20.1;6.5;2.4;4.3;9.4;10.2
15.9;65.3;32.6;5.2;7.9;20.0;6.5;2.4;4.3;9.3;10.1
15.8;65.1;32.5;5.1;7.9;19.9;6.5;2.4;4.3;9.3;10.1
15.8;64.9;32.4;5.1;7.8;19.8;6.5;2.4;4.3;9.3;10.1
15.7;64.7;32.3;5.1;7.8;19.8;6.4;2.4;4.3;9.3;10.1
15.7;64.5;32.2;5.1;7.8;19.7;6.4;2.4;4.3;9.2;10.0
15.6;64.3;32.1;5.1;7.8;19.7;6.4;2.4;4.3;9.2;10.0
15.6;64.1;32.0;5.1;7.7;19.6;6.4;2.4;4.2;9.2;10.0
15.5;63.9;31.9;5.1;7.7;19.5;6.4;2.4;4.2;9.1;9.9
15.5;63.7;31.8;5.0;7.7;19.5;6.3;2.4;4.2;9.1;9.9
15.4;63.5;31.7;5.0;7.7;19.4;6.3;2.4;4.2;9.1;9.9
15.4;63.4;31.6;5.0;7.6;19.4;6.3;2.4;4.2;9.1;9.8
15.4;63.3;31.6;5.0;7.6;19.3;6.3;2.3;4.2;9.0;9.8
15.3;63.2;31.5;5.0;7.6;19.3;6.3;2.3;4.2;9.0;9.8
15.3;63.2;31.5;5.0;7.6;19.3;6.3;2.3;4.2;9.0;9.8
15.3;63.2;31.6;5.0;7.6;19.3;6.3;2.3;4.2;9.0;9.8
15.4;63.3;31.6;5.0;7.6;19.3;6.3;2.3;4.2;9.0;9.8
15.4;63.4;31.6;5.0;7.6;19.4;6.3;2.3;4.2;9.1;9.8
15.4;63.4;31.6;5.0;7.6;19.4;6.3;2.4;4.2;9.1;9.8
15.4;63.5;31.7;5.0;7.7;19.4;6.3;2.4;4.2;9.1;9.9
15.4;63.6;31.7;5.0;7.7;19.4;6.3;2.4;4.2;9.1;9.9
15.4;63.6;31.7;5.0;7.7;19.4;6.3;2.4;4.2;9.1;9.9
15.5;63.7;31.8;5.0;7.7;19.5;6.3;2.4;4.2;9.1;9.9
15.5;63.9;31.9;5.1;7.7;19.5;6.4;2.4;4.2;9.1;9.9
15.6;64.2;32.0;5.1;7.7;19.6;6.4;2.4;4.2;9.2;10.0
15.6;64.5;32.2;5.1;7.8;19.7;6.4;2.4;4.3;9.2;10.0
15.7;64.9;32.4;5.1;7.8;19.8;6.5;2.4;4.3;9.3;10.1
15.9;65.4;32.6;5.2;7.9;20.0;6.5;2.4;4.3;9.3;10.1
16.0;65.9;32.9;5.2;7.9;20.1;6.6;2.4;4.4;9.4;10.2
16.1;66.3;33.1;5.2;8.0;20.3;6.6;2.5;4.4;9.5;10.3
16.2;66.8;33.3;5.3;8.0;20.4;6.6;2.5;4.4;9.5;10.4
16.3;67.2;33.5;5.3;8.1;20.5;6.7;2.5;4.4;9.6;10.4
16.4;67.5;33.7;5.3;8.1;20.6;6.7;2.5;4.5;9.6;10.5
16.4;67.9;33.8;5.4;8.2;20.7;6.7;2.5;4.5;9.7;10.5
16.5;68.2;34.0;5.4;8.2;20.8;6.8;2.5;4.5;9.7;10.6
16.6;68.7;34.2;5.4;8.3;21.0;6.8;2.5;4.5;9.8;10.7
16.8;69.2;34.5;5.5;8.3;21.1;6.9;2.6;4.6;9.9;10.7
16.9;69.8;34.8;5.5;8.4;21.3;6.9;2.6;4.6;10.0;10.8
17.1;70.5;35.1;5.6;8.5;21.5;7.0;2.6;4.7;10.1;10.9
17.3;71.3;35.5;5.6;8.6;21.8;7.1;2.6;4.7;10.2;11.1
