2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.4;58.9;29.5;4.7;7.1;19.0;5.5;2.1;3.6;8.4;9.5
13.4;58.6;29.4;4.7;7.0;18.9;5.5;2.1;3.6;8.4;9.4
13.3;58.2;29.2;4.7;7.0;18.8;5.5;2.1;3.6;8.3;9.4
13.2;57.8;29.0;4.6;7.0;18.6;5.4;2.1;3.5;8.3;9.3
13.1;57.4;28.8;4.6;6.9;18.5;5.4;2.1;3.5;8.2;9.2
13.0;56.9;28.5;4.6;6.8;18.4;5.3;2.0;3.5;8.1;9.2
12.9;56.4;28.3;4.5;6.8;18.2;5.3;2.0;3.4;8.1;9.1
12.7;55.9;28.0;4.5;6.7;18.0;5.2;2.0;3.4;8.0;9.0
12.6;55.3;27.7;4.4;6.6;17.8;5.2;2.0;3.4;7.9;8.9
12.5;54.7;27.5;4.4;6.6;17.7;5.1;2.0;3.3;7.8;8.8
12.4;54.3;27.2;4.4;6.5;17.5;5.1;1.9;3.3;7.8;8.7
12.3;54.0;27.1;4.3;6.5;17.4;5.1;1.9;3.3;7.7;8.7
12.3;53.7;26.9;4.3;6.5;17.3;5.0;1.9;3.3;7.7;8.7
12.2;53.6;26.9;4.3;6.4;17.3;5.0;1.9;3.3;7.7;8.6
12.2;53.6;26.9;4.3;6.4;17.3;5.0;1.9;3.3;7.7;8.6
12.2;53.6;26.9;4.3;6.4;17.3;5.0;1.9;3.3;7.7;8.6
12.2;53.5;26.8;4.3;6.4;17.3;5.0;1.9;3.3;7.7;8.6
12.2;53.5;26.8;4.3;6.4;17.2;5.0;1.9;3.3;7.7;8.6
12.2;53.4;26.8;4.3;6.4;17.2;5.0;1.9;3.3;7.6;8.6
12.2;53.3;26.7;4.3;6.4;17.2;5.0;1.9;3.3;7.6;8.6
12.1;53.1;26.6;4.3;6.4;17.1;5.0;1.9;3.2;7.6;8.6
12.1;53.0;26.6;4.2;6.4;17.1;5.0;1.9;3.2;7.6;8.5
12.1;52.9;26.5;4.2;6.4;17.0;5.0;1.9;3.2;7.6;8.5
12.0;52.8;26.5;4.2;6.3;17.0;5.0;1.9;3.2;7.5;8.5
12.0;52.7;26.4;4.2;6.3;17.0;5.0;1.9;3.2;7.5;8.5
12.0;52.6;26.4;4.2;6.3;17.0;4.9;1.9;3.2;7.5;8.5
12.0;52.6;26.4;4.2;6.3;17.0;4.9;1.9;3.2;7.5;8.5
12.0;52.5;26.3;4.2;6.3;16.9;4.9;1.9;3.2;7.5;8.5
12.0;52.4;26.3;4.2;6.3;16.9;4.9;1.9;3.2;7.5;8.4
11.9;52.2;26.2;4.2;6.3;16.9;4.9;1.9;3.2;7.5;8.4
11.9;52.0;26.1;4.2;6.3;16.8;4.9;1.9;3.2;7.4;8.4
11.8;51.7;26.0;4.2;6.2;16.7;4.9;1.8;3.2;7.4;8.3
11.7;51.4;25.8;4.1;6.2;16.6;4.8;1.8;3.1;7.4;8.3
11.7;51.1;25.6;4.1;6.1;16.5;4.8;1.8;3.1;7.3;8.2
11.6;50.8;25.5;4.1;6.1;16.4;4.8;1.8;3.1;7.3;8.2
11.5;50.5;25.3;4.1;6.1;16.3;4.7;1.8;3.1;7.2;8.1
11.5;50.3;25.2;4.0;6.0;16.2;4.7;1.8;3.1;7.2;8.1
11.4;50.1;25.1;4.0;6.0;16.2;4.7;1.8;3.1;7.2;8.1
11.4;50.0;25.1;4.0;6.0;16.1;4.7;1.8;3.1;7.1;8.0
11.4;49.8;25.0;4.0;6.0;16.1;4.7;1.8;3.0;7.1;8.0
11.3;49.7;24.9;4.0;6.0;16.0;4.7;1.8;3.0;7.1;8.0
11.3;49.6;24.9;4.0;6.0;16.0;4.7;1.8;3.0;7.1;8.0
11.3;49.4;24.8;4.0;5.9;15.9;4.6;1.8;3.0;7.1;8.0
11.2;49.2;24.7;4.0;5.9;15.9;4.6;1.8;3.0;7.0;7.9
11.2;49.1;24.6;3.9;5.9;15.8;4.6;1.8;3.0;7.0;7.9
11.2;48.9;24.5;3.9;5.9;15.8;4.6;1.7;3.0;7.0;7.9
11.1;48.8;24.5;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.9
11.1;48.7;24.4;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.6;24.4;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.6;24.4;3.9;5.8;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.6;24.4;3.9;5.8;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.6;24.4;3.9;5.8;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.6;24.4;3.9;5.8;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.6;24.4;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.6;24.4;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.7;24.4;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.7;24.4;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.7;24.4;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.8
11.1;48.8;24.5;3.9;5.9;15.7;4.6;1.7;3.0;7.0;7.9
11.2;48.9;24.5;3.9;5.9;15.8;4.6;1.7;3.0;7.0;7.9
11.2;49.1;24.6;3.9;5.9;15.8;4.6;1.8;3.0;7.0;7.9
11.3;49.3;24.8;4.0;5.9;15.9;4.6;1.8;3.0;7.1;7.9
11.3;49.6;24.9;4.0;6.0;16.0;4.7;1.8;3.0;7.1;8.0
11.4;49.9;25.1;4.0;6.0;16.1;4.7;1.8;3.1;7.1;8.0
11.5;50.2;25.2;4.0;6.0;16.2;4.7;1.8;3.1;7.2;8.1
11.5;50.5;25.3;4.0;6.1;16.3;4.8;1.8;3.1;7.2;8.1
11.6;50.7;25.5;4.1;6.1;16.4;4.8;1.8;3.1;7.3;8.2
11.6;50.9;25.6;4.1;6.1;16.4;4.8;1.8;3.1;7.3;8.2
11.7;51.1;25.7;4.1;6.2;16.5;4.8;1.8;3.1;7.3;8.2
11.7;51.4;25.8;4.1;6.2;16.6;4.8;1.8;3.1;7.4;8.3
11.8;51.6;25.9;4.1;6.2;16.7;4.9;1.8;3.2;7.4;8.3
11.9;52.0;26.1;4.2;6.3;16.8;4.9;1.9;3.2;7.4;8.4
11.9;52.4;26.3;4.2;6.3;16.9;4.9;1.9;3.2;7.5;8.4
12.1;52.8;26.5;4.2;6.4;17.0;5.0;1.9;3.2;7.6;8.5
12.2;53.4;26.8;4.3;6.4;17.2;5.0;1.9;3.3;7.6;8.6
12.3;53.9;27.0;4.3;6.5;17.4;5.1;1.9;3.3;7.7;8.7
