2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
13.5;58.7;28.6;4.9;6.6;17.5;5.0;2.1;3.6;8.1;8.9
13.2;58.1;28.9;4.8;6.7;17.5;5.0;2.1;3.6;7.9;8.9
13.3;57.7;28.3;4.8;6.4;17.3;4.9;2.1;3.5;8.0;8.6
13.1;56.8;27.7;4.7;6.5;17.5;4.9;2.1;3.5;7.9;8.7
13.0;56.9;27.7;4.6;6.5;17.1;4.9;2.1;3.6;7.9;8.6
12.8;56.6;28.4;4.6;6.5;17.3;4.9;2.0;3.5;7.7;8.5
12.9;56.1;28.0;4.6;6.4;17.4;4.8;2.0;3.4;7.8;8.4
12.7;56.2;26.9;4.6;6.4;16.9;4.8;2.0;3.3;7.6;8.4
12.4;55.6;26.6;4.5;6.4;16.5;4.8;2.0;3.4;7.7;8.2
12.7;54.2;27.3;4.5;6.2;16.3;4.6;2.0;3.4;7.6;8.3
12.1;54.2;26.8;4.4;6.1;16.2;4.7;2.0;3.3;7.5;8.2
11.9;53.1;25.6;4.4;6.0;16.1;4.6;1.9;3.3;7.3;8.0
12.2;52.3;26.0;4.3;6.0;16.1;4.6;1.9;3.2;7.2;8.1
12.0;53.3;26.0;4.4;5.9;16.4;4.5;1.9;3.3;7.3;8.0
11.8;52.6;25.9;4.4;5.8;15.9;4.5;1.9;3.2;7.2;8.0
12.1;51.6;25.7;4.3;6.0;15.8;4.5;1.9;3.2;7.2;7.9
12.0;51.6;25.6;4.3;5.9;16.0;4.5;1.9;3.2;7.1;7.8
11.7;52.1;26.3;4.2;5.9;15.9;4.5;2.0;3.2;7.3;7.9
11.9;52.7;25.6;4.3;5.9;15.7;4.6;1.9;3.3;7.3;7.9
11.9;50.9;25.9;4.3;6.0;15.4;4.5;1.9;3.2;7.3;7.9
11.9;53.0;25.0;4.3;5.9;15.9;4.5;1.9;3.2;7.2;8.0
11.7;51.7;25.8;4.3;5.9;15.8;4.4;1.9;3.3;7.1;7.8
11.6;50.3;25.5;4.3;5.9;15.6;4.5;1.9;3.2;7.1;7.7
11.7;51.4;25.7;4.2;6.0;15.6;4.4;1.9;3.2;7.0;7.8
11.7;50.5;25.4;4.3;5.9;15.6;4.4;1.9;3.2;7.0;7.9
11.6;51.2;25.3;4.2;5.8;15.6;4.4;1.9;3.2;7.0;7.9
11.7;50.7;25.2;4.1;5.9;15.8;4.4;1.9;3.1;7.2;7.8
11.6;51.4;25.1;4.1;5.8;15.5;4.4;1.9;3.2;7.0;7.8
11.6;51.5;25.1;4.2;5.9;15.4;4.4;1.9;3.1;7.1;7.7
11.5;50.6;25.1;4.2;5.8;15.2;4.4;1.9;3.1;7.0;7.7
11.7;50.1;24.7;4.2;5.7;15.3;4.4;1.9;3.2;6.9;7.8
11.5;49.7;25.1;4.1;5.7;15.2;4.3;1.9;3.1;7.0;7.5
11.4;50.4;24.6;4.1;5.7;15.2;4.3;1.8;3.1;6.9;7.5
11.5;49.6;24.2;4.1;5.6;15.2;4.2;1.8;3.1;6.9;7.5
11.3;49.9;24.1;4.2;5.6;15.0;4.3;1.8;3.1;6.9;7.5
11.2;49.1;24.5;4.1;5.5;14.9;4.2;1.8;3.0;6.8;7.5
11.1;48.0;24.2;4.0;5.5;14.9;4.3;1.8;3.0;6.7;7.4
11.0;48.1;24.2;4.0;5.6;14.6;4.2;1.7;3.0;6.6;7.4
10.9;48.7;23.9;4.0;5.5;14.7;4.1;1.7;2.9;6.6;7.3
10.8;48.3;23.8;4.0;5.5;14.7;4.1;1.8;3.0;6.5;7.3
11.0;48.4;23.7;3.9;5.4;14.2;4.1;1.7;3.0;6.6;7.3
10.8;47.6;23.6;3.9;5.5;14.5;4.1;1.8;3.0;6.7;7.3
10.9;47.4;23.2;4.0;5.3;14.7;4.1;1.7;2.9;6.7;7.2
10.8;47.5;23.4;3.9;5.4;14.5;4.0;1.7;2.9;6.6;7.3
10.6;48.0;23.2;3.9;5.4;14.2;4.0;1.7;3.0;6.4;7.2
10.8;46.5;22.7;3.8;5.5;14.2;4.0;1.7;2.9;6.5;7.1
10.7;46.9;23.1;3.9;5.4;14.3;4.0;1.7;2.9;6.4;7.1
10.7;46.6;22.9;3.9;5.4;14.0;4.0;1.7;2.9;6.3;7.1
10.5;45.8;22.7;4.0;5.3;14.1;4.0;1.7;2.9;6.5;7.1
10.4;45.9;22.5;3.8;5.1;14.1;4.0;1.7;2.9;6.4;7.1
10.8;47.2;22.6;3.8;5.3;14.2;4.0;1.7;2.8;6.5;7.0
10.4;46.9;22.8;3.8;5.3;13.7;4.0;1.7;2.9;6.5;6.9
10.6;46.2;22.8;3.8;5.3;14.0;4.0;1.7;2.9;6.4;7.1
10.4;46.4;23.1;3.8;5.2;14.1;4.0;1.7;2.8;6.4;7.1
10.6;46.7;22.6;3.8;5.3;13.9;4.0;1.7;2.9;6.4;7.1
10.5;45.8;22.7;3.8;5.2;13.9;3.9;1.7;2.8;6.4;6.9
10.6;45.6;22.6;3.8;5.2;14.1;3.9;1.7;2.8;6.3;6.9
10.4;46.5;22.4;3.9;5.2;13.7;4.0;1.7;2.8;6.4;7.1
10.6;45.8;22.8;3.8;5.1;14.0;3.9;1.7;2.9;6.3;7.0
10.4;45.8;22.7;3.8;5.3;13.8;4.0;1.7;2.8;6.4;7.0
10.4;46.2;22.6;3.8;5.3;14.0;3.9;1.7;2.8;6.3;6.9
10.4;46.8;23.2;3.8;5.2;13.9;4.0;1.7;2.8;6.3;7.0
10.5;45.8;22.2;3.8;5.3;14.1;4.0;1.7;2.8;6.3;7.0
10.4;46.1;23.1;3.8;5.3;14.0;4.0;1.7;2.9;6.3;7.0
10.2;46.3;22.6;3.8;5.2;14.3;4.0;1.7;2.9;6.3;7.0
10.7;46.3;23.0;3.8;5.3;14.1;4.0;1.7;2.9;6.4;7.1
10.8;47.0;23.0;3.8;5.3;14.2;4.1;1.7;2.8;6.4;7.0
10.6;46.7;22.8;3.9;5.4;14.1;4.0;1.7;2.9;6.4;7.1
10.6;46.6;23.0;3.9;5.4;14.3;4.0;1.7;2.9;6.4;7.1
10.6;46.6;23.3;3.8;5.4;14.1;4.0;1.7;2.9;6.4;7.1
10.6;46.6;23.3;3.9;5.4;14.1;4.0;1.7;2.9;6.5;7.1
10.8;46.4;23.1;3.9;5.4;14.3;4.0;1.7;2.9;6.5;7.1
10.5;47.3;23.2;3.8;5.4;14.3;4.0;1.7;2.9;6.5;7.0
10.9;47.0;23.1;4.0;5.4;14.3;4.1;1.7;2.9;6.5;7.2
10.7;46.4;23.7;3.9;5.5;14.2;4.1;1.7;3.0;6.6;7.2
10.7;47.1;23.7;4.0;5.3;14.3;4.1;1.7;3.0;6.5;7.2
10.9;47.2;23.8;4.0;5.6;14.6;4.1;1.8;2.9;6.6;7.2
10.8;47.9;23.6;3.9;5.4;14.5;4.1;1.7;3.0;6.6;7.1
10.9;47.4;23.5;4.0;5.5;14.3;4.2;1.8;3.0;6.6;7.4
11.0;47.7;23.3;3.9;5.5;14.4;4.2;1.8;3.0;6.6;7.3
11.2;47.9;23.6;4.0;5.5;14.6;4.1;1.7;3.0;6.7;7.3
10.9;48.2;24.2;4.0;5.5;14.5;4.1;1.8;3.0;6.7;7.3
11.0;48.6;23.7;3.9;5.6;14.8;4.1;1.8;3.0;6.6;7.3
11.0;48.7;24.0;4.0;5.5;14.9;4.1;1.8;3.0;6.6;7.4
11.1;48.0;23.9;4.1;5.6;14.6;4.1;1.8;3.0;6.7;7.3
11.1;48.5;24.0;4.1;5.5;14.8;4.2;1.8;3.0;6.7;7.4
11.0;49.1;24.3;4.1;5.6;14.9;4.1;1.8;3.0;6.7;7.4
11.3;49.7;24.5;4.1;5.5;15.0;4.1;1.8;3.0;6.7;7.5
11.1;49.4;24.4;4.1;5.7;15.0;4.3;1.8;3.1;7.0;7.5
11.3;49.1;24.1;4.1;5.7;15.0;4.3;1.8;3.1;6.8;7.6
11.4;49.5;24.6;4.2;5.7;15.2;4.3;1.8;3.1;6.8;7.7
11.4;49.6;24.9;4.2;5.6;15.3;4.3;1.8;3.0;6.9;7.4
11.5;49.4;24.4;4.1;5.7;15.5;4.3;1.9;3.1;7.0;7.6
11.4;50.8;24.9;4.1;5.7;15.1;4.3;1.9;3.1;6.9;7.6
11.5;49.5;24.8;4.2;5.8;15.3;4.3;1.8;3.2;6.8;7.6
11.6;50.3;25.0;4.2;5.7;15.3;4.3;1.9;3.2;7.0;7.7
11.5;50.0;25.2;4.2;5.8;15.4;4.4;1.9;3.1;7.0;7.8
11.6;51.2;25.1;4.2;5.9;15.5;4.4;1.9;3.2;7.1;7.7
11.8;51.3;25.4;4.2;5.8;15.3;4.4;1.9;3.1;7.0;7.8
11.8;51.3;25.7;4.2;5.9;15.6;4.4;1.9;3.2;7.1;7.7
11.7;51.2;25.3;4.2;5.9;15.7;4.5;1.9;3.1;7.2;7.9
11.9;52.9;25.3;4.2;5.9;15.8;4.4;1.9;3.2;7.1;7.8
11.8;52.2;26.0;4.3;5.9;15.8;4.5;1.9;3.2;7.3;7.9
12.0;52.4;25.5;4.3;6.0;15.9;4.6;1.9;3.3;7.3;7.8
12.1;53.4;25.6;4.4;6.1;16.0;4.5;1.9;3.2;7.3;8.0
12.2;53.2;26.3;4.3;6.0;16.0;4.5;2.0;3.3;7.1;8.0
11.9;52.6;26.0;4.4;6.2;16.0;4.6;2.0;3.3;7.3;8.2
12.1;52.9;26.2;4.4;6.1;16.4;4.6;1.9;3.3;7.4;8.2
12.2;53.2;26.7;4.5;6.1;16.2;4.7;2.0;3.3;7.4;8.1
12.1;53.9;26.5;4.5;6.1;16.1;4.6;2.0;3.3;7.4;8.2
12.4;54.0;26.7;4.5;6.3;16.3;4.7;2.0;3.3;7.6;8.2
12.4;54.2;26.8;4.5;6.1;16.4;4.7;2.0;3.4;7.6;8.2
12.5;54.9;27.2;4.5;6.3;16.7;4.8;2.0;3.3;7.6;8.4
12.6;55.6;27.3;4.5;6.3;16.9;4.7;2.0;3.4;7.6;8.4
12.6;55.7;26.5;4.6;6.3;17.0;4.7;2.1;3.4;7.5;8.5
12.5;55.1;27.0;4.6;6.3;16.8;4.8;2.0;3.4;7.7;8.4
12.5;54.6;27.3;4.5;6.4;16.9;4.7;2.0;3.4;7.8;8.3
12.8;55.7;27.5;4.6;6.3;16.7;4.8;2.0;3.5;7.6;8.2
12.8;54.6;27.1;4.5;6.4;16.6;4.7;2.0;3.5;7.8;8.5
12.5;55.8;27.3;4.7;6.4;16.8;4.7;2.0;3.5;7.6;8.6
13.0;56.2;27.1;4.6;6.4;17.0;4.9;2.0;3.4;7.8;8.5
12.7;54.7;28.0;4.6;6.4;17.0;4.8;2.1;3.5;7.7;8.6
12.8;55.0;27.3;4.6;6.4;17.0;4.9;2.1;3.4;7.8;8.5
12.8;56.7;27.8;4.7;6.5;16.9;4.8;2.1;3.5;7.7;8.5
12.8;54.9;27.1;4.6;6.4;17.0;4.8;2.1;3.5;7.9;8.5
12.9;55.6;28.3;4.7;6.5;17.5;4.9;2.1;3.6;7.7;8.5
12.8;56.1;27.7;4.7;6.4;17.1;4.8;2.1;3.5;7.7;8.7
12.6;55.7;27.8;4.6;6.5;17.4;4.8;2.0;3.5;7.9;8.4
12.8;54.7;28.1;4.7;6.4;16.8;4.7;2.1;3.5;7.8;8.7
12.9;56.5;27.9;4.7;6.5;17.2;4.9;2.1;3.4;7.6;8.8
13.0;55.1;27.9;4.6;6.6;17.2;4.8;2.1;3.5;7.7;8.7
13.1;55.6;28.1;4.7;6.5;16.8;4.8;2.1;3.5;7.9;8.5
12.6;56.3;27.4;4.6;6.4;17.2;4.8;2.1;3.5;7.8;8.7
12.8;55.3;27.9;4.7;6.4;17.2;4.8;2.1;3.5;7.8;8.6
12.7;56.1;28.1;4.6;6.4;17.2;4.8;2.1;3.5;7.8;8.6
