1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
126.4;42.2;58.8;0.0;0.0
125.5;42.0;58.8;0.0;0.0
124.2;41.8;58.9;0.0;0.0
122.8;41.6;58.9;0.0;0.0
121.2;41.4;58.9;0.0;0.0
119.5;41.2;59.0;0.0;0.0
117.7;41.0;59.0;0.0;0.0
115.8;40.8;59.1;0.0;0.0
113.7;40.5;59.1;0.0;0.0
111.8;40.3;59.2;0.0;0.0
110.3;40.1;59.2;0.0;0.0
109.1;39.9;59.3;0.0;0.0
108.3;39.7;59.3;0.0;0.0
107.9;39.5;59.4;0.0;0.0
107.9;39.3;59.4;0.0;0.0
108.0;39.2;59.5;0.0;0.0
108.0;39.0;59.5;0.0;0.0
107.8;38.9;59.5;0.0;0.0
107.6;38.8;59.6;0.0;0.0
107.2;38.8;59.6;0.0;0.0
106.6;38.7;59.7;0.0;0.0
106.1;38.7;59.7;0.0;0.0
105.6;38.7;59.8;0.0;0.0
105.1;38.8;59.8;0.0;0.0
104.7;38.9;59.9;0.0;0.0
104.3;39.0;59.9;0.0;0.0
104.0;39.2;60.0;0.0;0.0
103.6;39.4;60.0;0.0;0.0
103.0;39.6;60.1;0.0;0.0
102.1;39.8;60.1;0.0;0.0
100.9;40.1;60.1;0.0;0.0
99.5;40.4;60.2;0.0;0.0
97.9;40.7;60.2;0.0;0.0
96.2;41.0;60.3;0.0;0.0
94.7;41.3;60.3;0.0;0.0
93.3;41.6;60.4;0.0;0.0
92.0;41.9;60.4;0.0;0.0
91.0;42.3;60.5;0.0;0.0
90.0;42.6;60.5;0.0;0.0
89.2;43.0;60.6;0.0;0.0
88.3;43.3;60.6;0.0;0.0
87.4;43.6;60.7;0.0;0.0
86.5;43.9;60.7;0.0;0.0
85.6;44.2;60.7;0.0;0.0
84.6;44.4;60.8;0.0;0.0
83.8;44.7;60.8;0.0;0.0
83.1;44.9;60.9;0.0;0.0
82.5;45.1;60.9;0.0;0.0
82.1;45.2;61.0;0.0;0.0
81.8;45.4;61.0;0.0;0.0
81.7;45.4;61.1;0.0;0.0
81.6;45.5;61.1;0.0;0.0
81.6;45.5;61.2;0.0;0.0
81.6;45.6;61.2;0.0;0.0
81.7;45.6;61.3;0.0;0.0
81.7;45.5;61.3;0.0;0.0
81.8;45.5;61.3;0.0;0.0
82.1;45.4;61.4;0.0;0.0
82.5;45.4;61.4;0.0;0.0
83.1;45.3;61.5;0.0;0.0
84.0;45.2;61.5;0.0;0.0
85.0;45.1;61.6;0.0;0.0
86.3;45.0;61.6;0.0;0.0
87.6;44.9;61.7;0.0;0.0
88.9;44.8;61.7;0.0;0.0
90.0;44.8;61.8;0.0;0.0
91.0;44.7;61.8;0.0;0.0
91.9;44.6;61.9;0.0;0.0
92.8;44.5;61.9;0.0;0.0
93.7;44.5;61.9;0.0;0.0
94.8;44.5;62.0;0.0;0.0
96.3;44.4;62.0;0.0;0.0
97.9;44.4;62.1;0.0;0.0
99.8;44.5;62.1;0.0;0.0
101.9;44.5;62.2;0.0;0.0
104.1;44.6;62.2;0.0;0.0
106.2;44.6;62.3;0.0;0.0
108.1;44.7;62.3;0.0;0.0
110.0;44.8;62.4;0.0;0.0
111.7;44.9;62.4;0.0;0.0
113.3;45.0;62.5;0.0;0.0
114.8;45.1;62.5;0.0;0.0
116.4;45.2;62.5;0.0;0.0
118.0;45.3;62.6;0.0;0.0
119.5;45.4;62.6;0.1;0.2
121.0;45.6;62.7;0.2;0.3
122.6;45.7;62.7;0.2;0.5
123.9;45.8;62.8;0.4;0.7
125.1;45.9;62.8;0.5;1.0
126.0;46.0;62.9;0.6;1.3
126.6;46.1;62.9;0.8;1.6
127.0;46.2;63.0;1.0;2.0
127.2;46.3;63.0;1.2;2.5
127.2;46.3;63.1;1.4;3.0
127.0;46.4;63.1;1.6;3.5
126.8;46.4;63.1;1.9;4.1
126.5;46.4;63.2;2.2;4.8
126.1;46.4;63.2;2.5;5.5
125.6;46.4;63.3;2.9;6.2
125.1;46.4;63.3;3.2;7.0
124.4;46.4;63.4;3.6;7.8
123.8;46.3;63.4;3.9;8.6
123.0;46.3;63.5;4.3;9.4
122.2;46.3;63.5;4.7;10.3
121.4;46.2;63.6;5.0;11.1
120.6;46.2;63.6;5.4;12.0
119.8;46.1;63.7;5.8;12.8
119.0;46.1;63.7;6.2;13.6
