2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
18.0;78.0;40.6;6.0;9.0;23.9;7.9;2.8;5.2;11.4;12.5
18.0;78.9;40.1;6.0;8.8;23.5;7.9;2.8;5.1;11.3;12.1
18.2;78.7;39.7;5.9;8.9;23.7;7.7;2.8;5.0;11.2;12.3
18.0;79.5;40.0;6.0;9.0;23.1;7.6;2.8;5.2;11.0;12.2
17.9;77.1;39.5;5.7;8.8;23.0;7.8;2.8;5.1;11.2;12.1
17.3;76.4;39.4;5.9;8.7;23.1;7.6;2.8;5.1;10.9;12.1
17.8;75.7;38.8;5.9;8.7;23.1;7.5;2.7;5.0;10.9;12.0
17.0;75.9;38.6;5.8;8.6;22.7;7.5;2.7;5.0;10.7;11.8
17.1;74.6;37.9;5.7;8.5;22.9;7.5;2.6;4.9;10.7;11.8
17.1;74.0;37.9;5.7;8.4;22.5;7.3;2.6;4.8;10.6;11.5
17.1;73.5;38.0;5.6;8.3;22.0;7.3;2.7;4.8;10.3;11.5
16.9;73.1;36.7;5.5;8.2;21.8;7.2;2.6;4.8;10.4;11.4
16.9;72.8;36.8;5.5;8.2;21.9;7.2;2.6;4.7;10.4;11.4
16.7;71.6;36.5;5.5;8.2;22.0;7.1;2.6;4.7;10.2;11.3
16.4;71.5;36.5;5.6;8.2;21.4;7.2;2.6;4.7;10.2;11.2
16.4;71.9;36.7;5.3;8.2;21.8;7.2;2.6;4.7;10.3;11.2
16.4;71.8;36.2;5.5;8.3;21.5;7.1;2.6;4.8;10.3;11.4
16.3;70.8;36.8;5.5;8.1;21.7;7.1;2.6;4.7;10.2;11.3
16.4;73.0;36.7;5.5;8.1;21.8;7.1;2.5;4.6;10.2;11.2
16.2;72.1;35.6;5.4;8.2;21.5;7.0;2.6;4.7;10.1;11.4
16.4;71.6;36.6;5.4;8.0;21.0;7.1;2.6;4.8;10.3;11.2
16.3;71.1;36.7;5.4;8.0;21.4;7.1;2.5;4.7;10.1;11.1
16.2;71.0;36.3;5.3;8.1;21.6;6.9;2.5;4.7;10.0;11.3
16.3;70.8;35.9;5.3;7.9;21.2;7.0;2.5;4.6;10.2;11.2
16.3;71.9;35.7;5.4;8.0;21.3;7.0;2.5;4.7;10.1;11.1
16.3;70.2;36.5;5.4;8.1;21.5;7.0;2.5;4.6;10.0;10.9
16.6;70.8;36.2;5.3;7.9;21.4;7.0;2.5;4.6;10.2;11.1
16.1;69.9;36.7;5.3;8.0;21.0;7.1;2.5;4.6;10.0;11.0
16.2;71.2;35.9;5.4;7.9;21.1;6.9;2.6;4.6;10.2;11.0
16.0;69.5;35.3;5.3;7.7;21.4;6.9;2.5;4.7;10.0;11.2
16.0;71.9;35.6;5.4;7.8;21.0;7.0;2.5;4.6;9.9;10.8
16.0;68.8;36.2;5.4;8.0;21.1;6.9;2.5;4.5;10.1;10.9
16.0;68.6;35.6;5.3;7.8;21.1;6.9;2.5;4.6;9.8;10.8
16.0;68.7;35.0;5.3;7.7;20.5;6.7;2.5;4.4;9.8;10.8
15.7;69.0;34.4;5.3;7.7;20.6;6.7;2.5;4.5;9.7;10.7
15.7;67.8;34.7;5.2;7.6;20.5;6.8;2.4;4.4;9.7;10.5
15.5;65.5;34.7;5.2;7.7;20.5;6.6;2.4;4.4;9.7;10.4
15.2;67.6;34.2;5.2;7.6;20.3;6.4;2.4;4.4;9.7;10.5
15.4;66.6;33.8;5.1;7.6;20.0;6.6;2.4;4.3;9.6;10.7
15.4;67.0;33.8;5.1;7.5;20.5;6.6;2.4;4.4;9.4;10.7
15.2;67.9;34.0;5.1;7.5;20.4;6.5;2.4;4.4;9.7;10.6
15.3;67.7;33.9;5.0;7.5;20.3;6.6;2.3;4.4;9.5;10.4
15.4;66.2;33.9;5.1;7.4;19.9;6.7;2.4;4.3;9.6;10.4
15.3;68.1;33.6;5.0;7.6;19.9;6.5;2.4;4.3;9.3;10.5
15.2;66.3;33.5;5.0;7.5;19.7;6.6;2.3;4.3;9.3;10.4
15.1;65.4;33.4;5.1;7.5;19.7;6.5;2.4;4.3;9.4;10.3
15.4;65.7;33.1;5.0;7.3;19.6;6.6;2.4;4.3;9.5;10.3
15.0;66.2;34.0;5.0;7.4;19.5;6.4;2.3;4.3;9.1;10.4
14.9;64.8;33.4;5.0;7.3;19.6;6.4;2.3;4.3;9.4;10.2
14.8;64.7;33.2;5.0;7.3;19.7;6.4;2.3;4.3;9.4;10.3
14.8;65.5;33.6;4.9;7.3;19.5;6.4;2.3;4.3;9.2;10.3
14.7;65.3;32.9;4.9;7.4;19.7;6.4;2.3;4.3;9.3;10.1
14.9;65.4;32.9;5.0;7.4;19.9;6.4;2.3;4.3;9.3;10.3
14.9;66.2;33.3;4.9;7.4;19.7;6.5;2.3;4.3;9.3;10.4
15.0;65.3;33.4;4.9;7.2;19.5;6.5;2.4;4.3;9.3;10.3
15.0;66.2;33.0;5.0;7.4;19.8;6.5;2.3;4.3;9.2;10.3
15.0;65.7;32.9;5.0;7.5;19.4;6.5;2.4;4.3;9.4;10.1
14.9;66.2;32.9;5.0;7.4;19.7;6.5;2.3;4.3;9.2;10.5
15.1;65.1;33.5;5.0;7.5;19.9;6.5;2.4;4.3;9.3;10.2
15.0;66.8;33.6;5.0;7.5;19.8;6.5;2.4;4.3;9.5;10.3
15.1;65.6;33.9;5.1;7.4;20.1;6.6;2.4;4.3;9.5;10.3
15.1;66.1;33.7;5.1;7.5;20.0;6.7;2.3;4.3;9.6;10.5
14.9;67.0;33.7;5.0;7.6;19.9;6.6;2.4;4.5;9.4;10.4
15.0;67.9;34.4;5.1;7.6;20.9;6.8;2.4;4.4;9.5;10.5
15.7;67.9;34.4;5.1;7.7;20.4;6.6;2.4;4.5;9.6;10.7
15.4;68.0;35.3;5.2;7.8;20.2;6.7;2.5;4.5;9.7;10.8
15.8;68.5;35.1;5.2;7.8;20.6;6.9;2.4;4.5;9.8;10.7
15.6;68.6;35.2;5.2;7.7;20.7;6.8;2.5;4.6;9.9;10.8
16.0;70.2;35.0;5.3;8.0;20.8;6.9;2.5;4.6;10.0;11.1
15.9;70.9;35.6;5.4;7.8;21.1;7.0;2.5;4.7;10.1;11.1
16.0;70.4;35.3;5.3;8.0;21.1;7.0;2.6;4.5;10.0;11.0
16.5;70.4;35.8;5.4;8.0;21.1;6.9;2.5;4.7;10.1;11.0
16.3;70.8;36.0;5.4;8.0;21.0;7.1;2.5;4.7;10.1;11.2
16.6;72.6;37.2;5.6;8.1;21.5;7.2;2.6;4.7;10.2;11.2
16.4;73.2;36.0;5.4;8.2;22.1;7.1;2.6;4.8;10.3;11.4
16.7;72.1;37.0;5.6;8.5;22.3;7.3;2.6;4.8;10.5;11.7
17.0;75.0;37.9;5.6;8.4;22.6;7.2;2.6;4.9;10.5;11.6
17.8;75.3;38.5;5.7;8.4;22.7;7.4;2.7;4.9;10.5;11.6
17.4;75.9;38.5;5.9;8.6;23.0;7.6;2.7;5.0;10.8;12.0
17.6;78.0;38.2;5.8;8.6;23.4;7.4;2.7;5.0;10.9;12.2
17.5;77.4;38.5;5.8;8.8;23.4;7.6;2.7;5.0;11.1;11.9
17.8;75.7;40.4;5.9;8.8;23.4;7.7;2.8;5.1;11.3;12.0
17.8;78.4;40.0;5.9;9.0;23.7;7.8;2.8;5.2;11.1;12.3
18.5;80.0;40.3;6.0;8.8;24.0;7.7;2.8;5.1;11.5;12.4
18.3;81.1;40.1;6.1;9.1;23.8;7.7;2.8;5.2;11.3;12.4
18.1;79.6;40.9;6.1;9.1;24.2;8.0;2.9;5.3;11.5;12.6
18.6;81.3;41.3;6.2;9.0;24.3;8.1;3.0;5.3;11.5;12.7
18.8;82.8;41.3;6.3;9.3;24.3;8.1;2.9;5.4;11.6;12.9
18.7;83.2;41.9;6.3;9.4;25.1;8.2;3.0;5.3;11.5;12.8
18.9;82.0;42.3;6.3;9.4;25.1;8.2;2.9;5.4;11.8;13.2
19.2;83.0;42.8;6.3;9.3;25.4;8.3;3.0;5.4;11.8;13.1
19.3;82.7;43.2;6.4;9.6;25.2;8.4;3.0;5.7;12.1;13.1
19.4;83.1;43.2;6.5;9.5;24.7;8.5;3.0;5.5;12.1;13.4
19.6;83.9;43.3;6.5;9.6;25.7;8.4;3.0;5.6;12.0;13.5
19.1;86.5;43.9;6.5;9.7;26.0;8.4;3.0;5.6;12.0;13.3
19.3;86.0;44.2;6.5;9.8;25.4;8.6;3.1;5.7;12.3;13.4
19.7;86.1;43.9;6.6;9.7;26.1;8.3;3.1;5.6;12.0;13.3
19.4;86.7;44.7;6.6;9.8;26.1;8.4;3.1;5.6;12.1;13.6
20.1;86.6;43.9;6.6;9.9;25.7;8.5;3.1;5.7;12.2;13.6
20.1;87.5;43.9;6.6;9.9;26.3;8.5;3.0;5.7;12.2;13.4
19.7;87.0;44.9;6.6;10.0;26.5;8.5;3.1;5.7;12.5;13.7
19.7;84.8;44.5;6.6;9.9;26.5;8.6;3.1;5.7;12.4;13.3
19.9;87.6;44.9;6.7;9.8;26.3;8.7;3.1;5.7;12.6;13.7
20.0;87.7;43.7;6.7;10.0;26.7;8.7;3.1;5.7;12.4;13.6
19.9;88.3;44.7;6.7;9.9;26.3;8.6;3.1;5.8;12.5;13.8
19.8;87.3;45.4;6.7;9.8;26.2;8.7;3.1;5.7;12.4;13.8
20.2;87.6;44.7;6.8;10.0;26.9;8.6;3.2;5.7;12.3;13.8
20.0;89.8;45.1;6.6;10.0;26.7;8.8;3.2;5.9;12.5;14.0
20.1;88.2;45.3;6.7;10.1;26.6;8.7;3.2;5.8;12.8;13.7
20.3;88.0;44.3;6.8;10.3;26.2;8.8;3.2;5.7;12.7;13.9
20.0;89.9;45.5;6.8;10.0;26.9;8.7;3.2;5.8;12.8;13.9
